id,name,state_id,is_legislator,chamber,start_command,end_command,block_id
law_deputy_01,"ABDALA DE MATARAZZO, NORMA AMANDA",Santiago del Estero,True,deputies,2009-12-10,2013-12-09,FRENTE CIVICO POR SANTIAGO
law_deputy_02,"AGUAD, OSCAR RAUL",Córdoba,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_03,"AGUILAR, LINO WALTER",San Luis,True,deputies,2011-12-10,2015-12-09,COMPROMISO FEDERAL
law_deputy_04,"ALBARRACIN, JORGE LUIS",Mendoza,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_05,"ALBRIEU, OSCAR EDMUNDO NICOLAS",Río Negro,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_06,"ALFONSIN, RICARDO LUIS",Buenos Aires,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_07,"ALONSO, GUMERSINDO FEDERICO",Córdoba,True,deputies,2009-12-10,2013-12-09,FRENTE CIVICO - CORDOBA
law_deputy_08,"ALONSO, LAURA",Ciudad Autónoma de Buenos Aires,True,deputies,2009-12-10,2013-12-09,PRO
law_deputy_09,"ALONSO, MARIA LUZ",La Pampa,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_10,"ALVAREZ, ELSA MARIA",Santa Cruz,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_11,"ALVAREZ, JORGE MARIO",Santa Fe,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_12,"AMADEO, EDUARDO PABLO",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE RENOVADOR
law_deputy_13,"ARENA, CELIA ISABEL",Santa Fe,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_14,"ARGUMEDO, ALCIRA SUSANA",Ciudad Autónoma de Buenos Aires,True,deputies,2009-12-10,2013-12-09,MOVIMIENTO PROYECTO SUR
law_deputy_15,"ARREGUI, ANDRES ROBERTO",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_16,"ASPIAZU, LUCIO BERNARDO",Corrientes,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_17,"ASSEFF, ALBERTO EMILIO",Buenos Aires,True,deputies,2011-12-10,2015-12-09,COMPROMISO FEDERAL
law_deputy_18,"ATANASOF, ALFREDO NESTOR",Buenos Aires,True,deputies,2009-12-10,2013-12-09,FRENTE PERONISTA
law_deputy_19,"AVOSCAN, HERMAN HORACIO",Río Negro,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
